Nome_Completo; Endereço; Cidade; Estado; UF; CEP; Telefone; Nascimento
Vinicius S Lima; Rua Heinrich Sell 425; Jaraguá do Sul; Santa Catarina; SC; 89260-688; (47) 2670-3796; 21/01/1956
Eduardo D Ferreira; Rua Severo Pacheco 970; Pelotas; Rio Grande do Sul; RS; 96050-300; (53) 5198-3957; 14/10/1976
Alice A Martins; Travessa Primavera 980; Francisco Beltrão; Paraná; PR; 85601-818; (46) 6621-9761; 25/05/1979
Sophia C Almeida; Rua Carlos Inácio Alves 1034; Londrina; Paraná; PR; 86038-390; (43) 8705-3239; 16/03/1975
Carla M Souza; Rua dos Andradas 833; Porto Alegre; Rio Grande do Sul; RS; 90020-006; (51) 2009-2059; 24/09/1941
Vinícius S Araujo; Travessa Goiânia 698; Alvorada; Rio Grande do Sul; RS; 94852-410; (51) 5466-9350; 18/02/1952
Vitór R Santos; Rua João dos Santos Areão 55; Florianópolis; Santa Catarina; SC; 88035-260; (48) 5927-6326; 14/11/1935
Douglas F Souza; Beco B 1853; Santo Ângelo; Rio Grande do Sul; RS; 98802-285; (55) 7249-6013; 28/06/1974
Rebeca R Araujo; Avenida General Câmara 904; Cruz Alta; Rio Grande do Sul; RS; 98005-010; (55) 8531-9185; 01/06/1963
Rafael A Lima; Rua Gedeão Ratto Silveira 392; Bagé; Rio Grande do Sul; RS; 96413-080; (53) 9737-7373; 23/08/1962
Otávio R Ferreira; Rua Antônio Joaquim de Freitas 1053; Florianópolis; Santa Catarina; SC; 88034-200; (48) 9917-6186; 30/03/1960
Bruna C Rodrigues; Rua Rancho Bom 599; Joinville; Santa Catarina; SC; 89232-823; (47) 9896-4386; 12/09/1966
Luan O Araujo; Rua Eulália Xavier 1709; Apucarana; Paraná; PR; 86807-380; (43) 4423-9986; 23/12/1966
Rafaela R Fernandes; Rua Padre Ângelo Costa 1559; Porto Alegre; Rio Grande do Sul; RS; 91520-161; (51) 9990-4905; 07/04/1964
José C Goncalves; Avenida Tufi Maron 680; Paranaguá; Paraná; PR; 83206-395; (41) 5377-7672; 20/04/1984
